i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.0244,0.01952,0.00976,-0.01464,-0.01464,-0.01952
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.0244,0.01952,0.00976,-0.00976,-0.01464,-0.02928
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0.0244,0.0244,0.01952,-0.00976,-0.00976,-0.0244
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.03416,0.0244,0.01952,-0.01464,-0.01952,-0.0244
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.03416,0.0244,0.0244,-0.00976,-0.01952,-0.0244
-0.03416,0.02196,-0.00976,0.00732,0.0244,-0.02928,0.03416,0.0244,0.0244,-0.01464,-0.00976,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.02928,0.0244,0.02928,-0.01464,-0.00976,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.0244,0.0244,0.02928,-0.00488,-0.01464,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.0244,0.03416,0.02928,-0.00488,-0.00488,-0.0244
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0.0244,0.0244,0.03416,0.00488,-0.00976,-0.0244
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.0244,0.0244,0.03416,0.00488,-0.00976,-0.0244
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01464,0.0244,0.03416,0,-0.00976,-0.0244
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01464,0.0244,0.03416,0,-0.00488,-0.0244
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.0244,0.03416,0.03904,0.00976,0.00488,-0.01464
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.01952,0.03416,0.04392,0.01464,0.00488,-0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01952,0.03904,0.05368,0.01464,0.00488,0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01952,0.03904,0.05856,0.01464,0.00976,0.00488
-0.0244,0.0122,0,0.0122,0.0244,-0.0244,0.01952,0.04392,0.06344,0.01464,0.01464,-0.00488
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.01952,0.0488,0.06344,0.01464,0.01464,-0.00488
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.01952,0.0488,0.06344,0.01464,0.00488,0
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.01464,0.0488,0.0732,0.01952,0.00488,0
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.01464,0.05368,0.0732,0.0244,0.01464,0
-0.00976,0.00488,0,0.00488,0.00976,-0.00976,0.01464,0.05856,0.0732,0.0244,0.01952,0.00488
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,0.00488,0.05368,0.07808,0.02928,0.01952,0
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,0,0.05368,0.08296,0.02928,0.0244,0
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,0.00488,0.06832,0.08784,0.03416,0.01464,0
0,-0.00732,0.01464,0.01464,0.01464,-0.00732,0.00488,0.0732,0.09272,0.03416,0.01464,0
0.00488,-0.0122,0.01952,0.01708,0.01464,-0.00488,0.00976,0.06832,0.08296,0.02928,0.01464,0
0.00488,-0.01464,0.0244,0.02196,0.01952,-0.00732,0.00976,0.0732,0.0976,0.03416,0.01952,0.00488
0.01464,-0.01708,0.01952,0.0122,0.00488,0.00488,-0.00488,0.0732,0.10736,0.04392,0.03416,0.01464
0.01464,-0.01708,0.01952,0.0122,0.00488,0.00488,-0.00976,0.08784,0.11224,0.0488,0.03904,0.01464
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,0,0.08784,0.11712,0.06344,0.04392,0.00976
0.0244,-0.03172,0.03904,0.02684,0.01464,0.00488,0,0.09272,0.122,0.06344,0.04392,0.01464
0.0244,-0.02928,0.03416,0.02196,0.00976,0.00732,0,0.0976,0.13176,0.06832,0.04392,0.01464
0.03416,-0.0366,0.03904,0.02196,0.00488,0.01464,-0.00488,0.10248,0.13664,0.06832,0.0488,0.01952
0.04392,-0.0488,0.05368,0.03172,0.00976,0.01708,-0.00488,0.10248,0.14152,0.06832,0.0488,0.0244
0.04392,-0.05124,0.05856,0.0366,0.01464,0.01464,-0.01952,0.10736,0.14152,0.06832,0.0488,0.0244
0.0488,-0.05856,0.06832,0.04392,0.01952,0.01464,-0.02928,0.10248,0.1464,0.0732,0.05856,0.01952
0.05368,-0.06344,0.0732,0.04636,0.01952,0.01708,-0.03416,0.10736,0.1464,0.08296,0.06344,0.02928
0.05856,-0.06832,0.07808,0.0488,0.01952,0.01952,-0.02928,0.11712,0.15616,0.0976,0.0732,0.04392
0.06344,-0.0732,0.08296,0.05124,0.01952,0.02196,-0.03416,0.122,0.16592,0.10248,0.07808,0.05368
0.06344,-0.07808,0.09272,0.061,0.02928,0.01708,-0.03416,0.122,0.15616,0.09272,0.08296,0.05368
0.06832,-0.08052,0.09272,0.05856,0.0244,0.02196,-0.04392,0.122,0.15616,0.0976,0.08784,0.05856
0.0732,-0.08296,0.09272,0.05612,0.01952,0.02684,-0.0488,0.11712,0.16592,0.09272,0.07808,0.0488
0.0732,-0.0854,0.0976,0.061,0.0244,0.0244,-0.05368,0.11712,0.16592,0.0976,0.07808,0.05368
0.07808,-0.09028,0.10248,0.06344,0.0244,0.02684,-0.05368,0.10248,0.16592,0.0976,0.07808,0.06344
0.07808,-0.09272,0.10736,0.06832,0.02928,0.0244,-0.05368,0.10248,0.16592,0.0976,0.08296,0.06832
0.08296,-0.09028,0.0976,0.05612,0.01464,0.03416,-0.05368,0.10248,0.16104,0.10736,0.09272,0.06832
0.08296,-0.09028,0.0976,0.05612,0.01464,0.03416,-0.05856,0.10248,0.15616,0.10736,0.09272,0.06832
0.08784,-0.0976,0.10736,0.06344,0.01952,0.03416,-0.0732,0.09272,0.15128,0.10736,0.09272,0.06832
0.08784,-0.10248,0.11712,0.0732,0.02928,0.02928,-0.0732,0.08296,0.14152,0.10736,0.09272,0.06832
0.09272,-0.10492,0.11712,0.07076,0.0244,0.03416,-0.08296,0.0732,0.13664,0.10736,0.09272,0.07808
0.09272,-0.10492,0.11712,0.07076,0.0244,0.03416,-0.08296,0.06344,0.13664,0.10736,0.09272,0.07808
0.09272,-0.10248,0.11224,0.06588,0.01952,0.0366,-0.07808,0.05856,0.122,0.10248,0.09272,0.08296
0.09272,-0.10248,0.11224,0.06588,0.01952,0.0366,-0.07808,0.0488,0.11224,0.0976,0.09272,0.08296
0.08784,-0.09516,0.10248,0.05856,0.01464,0.0366,-0.07808,0.03904,0.11224,0.0976,0.0976,0.08296
0.08296,-0.09028,0.0976,0.05612,0.01464,0.03416,-0.07808,0.02928,0.10736,0.0976,0.0976,0.07808
0.0732,-0.08784,0.10248,0.06588,0.02928,0.02196,-0.07808,0.02928,0.0976,0.0976,0.08784,0.06832
0.06832,-0.08296,0.0976,0.06344,0.02928,0.01952,-0.07808,0.01952,0.07808,0.08784,0.0732,0.06832
0.0732,-0.0854,0.0976,0.061,0.0244,0.0244,-0.0732,0.01464,0.0732,0.08296,0.0732,0.05856
0.05856,-0.07564,0.09272,0.06344,0.03416,0.0122,-0.0732,0.00488,0.06344,0.07808,0.06832,0.05368
0.06344,-0.06832,0.0732,0.04148,0.00976,0.02684,-0.0732,-0.00488,0.06344,0.07808,0.06832,0.05856
0.05856,-0.061,0.06344,0.03416,0.00488,0.02684,-0.06344,-0.00976,0.05856,0.06832,0.06344,0.04392
0.05368,-0.05612,0.05856,0.03172,0.00488,0.0244,-0.05368,0,0.05856,0.06832,0.06832,0.05368
0.0488,-0.05124,0.05368,0.02928,0.00488,0.02196,-0.0488,-0.00488,0.05368,0.06344,0.05856,0.0488
0.03904,-0.04148,0.04392,0.0244,0.00488,0.01708,-0.05368,0,0.03416,0.05368,0.03904,0.03904
0.03416,-0.03416,0.03416,0.01708,0,0.01708,-0.04392,-0.00976,0.0244,0.03904,0.03904,0.01952
0.02928,-0.02928,0.02928,0.01464,0,0.01464,-0.03904,-0.00976,0.01464,0.02928,0.02928,0.00976
0.0244,-0.02196,0.01952,0.00732,-0.00488,0.01464,-0.02928,-0.00976,0.00488,0.01952,0.0244,0.00488
0.00488,-0.00732,0.00976,0.00732,0.00488,0,-0.01464,-0.00488,0.00488,0.01952,0.01464,0.01464
0.00488,-0.00488,0.00488,0.00244,0,0.00244,-0.00976,0,0.00488,0.00976,0.00976,0.00976
0.00488,-0.00488,0.00488,0.00244,0,0.00244,-0.00976,-0.00488,-0.00976,0.00976,0.00976,0
0.00488,0,-0.00488,-0.00732,-0.00976,0.00732,-0.00488,-0.00488,-0.01464,0,0.00488,-0.00488
0,0.00244,-0.00488,-0.00488,-0.00488,0.00244,-0.00976,-0.00488,-0.0244,-0.00976,-0.00488,-0.00976
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.00488,-0.00976,-0.0244,-0.00976,-0.00976,-0.00976
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,-0.00488,0,-0.02928,-0.01952,-0.01952,-0.01952
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0.00488,0,-0.02928,-0.01952,-0.01952,-0.01952
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,-0.00488,-0.00488,-0.0244,-0.0244,-0.01952,-0.01952
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,-0.00488,-0.00488,-0.01952,-0.02928,-0.0244,-0.01952
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0,-0.00488,-0.0244,-0.03416,-0.02928,-0.0244
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.00488,-0.00488,-0.0244,-0.02928,-0.02928,-0.0244
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,0.00488,-0.0244,-0.03416,-0.0244,-0.0244
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,0.00976,-0.0244,-0.02928,-0.0244,-0.0244
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,0,-0.01952,-0.03904,-0.02928,-0.0244
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,0,-0.01952,-0.04392,-0.02928,-0.02928
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.01464,0,-0.0244,-0.03416,-0.02928,-0.02928
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.00976,0,-0.02928,-0.03416,-0.03416,-0.02928
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.00976,0,-0.01464,-0.02928,-0.01952,-0.02928
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0.00976,0,-0.00976,-0.02928,-0.01464,-0.02928
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.00976,0,-0.00976,-0.0244,-0.01952,-0.02928
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.00976,0,-0.00488,-0.0244,-0.01952,-0.0244
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.00976,0.00976,-0.00488,-0.03416,-0.02928,-0.03416
-0.0244,0.02684,-0.02928,-0.01708,-0.00488,-0.00976,0.00976,0.00976,-0.00488,-0.03416,-0.0244,-0.02928
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.00976,0,-0.01464,-0.0244,-0.0244,-0.0244
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,0.00488,-0.00976,-0.01952,-0.01952,-0.01952
-0.01464,0.0244,-0.03416,-0.02684,-0.01952,0.00244,0.01464,0.00488,0,-0.01952,-0.01464,-0.00976
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,0.00976,0.00488,0,-0.01952,-0.01464,-0.00976
-0.01464,0.0244,-0.03416,-0.02684,-0.01952,0.00244,0.00976,0.00488,0.00488,-0.01952,-0.01952,-0.00976
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.00976,0.00488,0,-0.01952,-0.01952,-0.00976
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0,0.00488,0.00488,-0.01464,-0.01952,-0.01952
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0,0.00488,0.00488,-0.01464,-0.01464,-0.01464
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.00488,0.00488,0.00488,-0.01464,-0.01464,-0.00488
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.00976,0.00488,0.00488,-0.01464,-0.01464,-0.00488
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0.00976,0.00488,0.00488,-0.01464,-0.00488,-0.01464
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0.00976,0.00488,0,-0.01464,-0.00488,-0.01464
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0,0.00488,0,-0.01464,-0.00488,-0.01464
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0,0.00488,0.00488,-0.00976,-0.00488,-0.01464
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0,0,0.00488,-0.01464,-0.01464,-0.01464
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0,0,0,-0.01464,-0.00976,-0.01464
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0.00976,0,0.00976,-0.00976,0,-0.01464
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.00488,0,0,-0.00976,-0.00488,-0.00976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.00488,0.00488,0,-0.01952,-0.01464,-0.00976
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.00488,0.00488,0,-0.01464,-0.00976,-0.00976
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.00488,-0.00488,0,-0.00976,-0.00488,-0.01464
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.00488,-0.00488,-0.00488,-0.01464,-0.00488,-0.01464
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0,-0.00488,-0.00488,-0.01464,-0.00488,-0.01464
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,0,-0.00488,-0.00488,-0.00976,-0.00976,-0.01464
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,0,-0.00488,-0.00488,-0.01464,-0.00488,-0.00976
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,0,-0.00488,-0.00976,-0.01464,-0.00488,-0.00976
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,-0.00488,-0.00976,-0.00976,-0.00488,-0.00976,-0.00976
-0.02928,0.02196,-0.01464,0,0.01464,-0.02196,-0.00488,-0.00976,-0.00488,0,-0.00976,-0.00976
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,-0.00488,-0.00976,-0.00976,-0.00488,0,-0.00976
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,-0.00488,-0.00976,-0.00976,-0.00488,0,-0.01464
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00488,0,0,-0.00488,0,-0.00488
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.00488,0,-0.00488,-0.01464,-0.00488,-0.01464
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.00488,-0.00976,-0.00488,-0.01464,-0.00488,-0.00488
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.00488,-0.00976,-0.00488,-0.01464,-0.00488,-0.00488
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,0.00488,-0.00976,-0.01464,-0.01464,-0.00488,-0.00976
-0.0244,0.01708,-0.00976,0.00244,0.01464,-0.01952,0.00488,-0.00976,-0.0244,-0.00976,-0.00488,-0.00976
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00488,-0.00976,-0.01464,-0.01952,-0.00488,-0.00976
-0.02928,0.01952,-0.00976,0.00488,0.01952,-0.0244,-0.00488,-0.00976,-0.01464,-0.01952,0,-0.00976
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0,-0.00976,-0.00488,-0.00976,0,-0.00488
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0,-0.00976,-0.00976,-0.00976,0,-0.00488
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.00488,-0.00976,0.00488,-0.00976,-0.00488,-0.00488
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00488,-0.00976,0.00488,-0.00976,0,-0.00488
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00488,0,-0.00488,-0.01952,0,0
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.00488,0,-0.00488,-0.01952,-0.00488,0
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.00488,-0.00976,-0.00488,-0.00976,0,-0.00976
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.00488,-0.00976,-0.00976,-0.00976,0,-0.01464
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.01464,-0.00976,-0.00488,-0.00488,0,-0.00488
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.01464,-0.01464,-0.00488,-0.00488,0.00488,-0.00488
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.01464,-0.01464,-0.00488,-0.00488,0,-0.00488
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.01464,-0.01464,-0.00488,-0.00488,0,-0.00488
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.01464,-0.01464,-0.00488,-0.00976,-0.00976,-0.00488
-0.04392,0.03416,-0.0244,-0.00244,0.01952,-0.03172,0.01464,-0.00976,0,-0.00976,-0.00976,-0.00488
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.00488,-0.00976,-0.00488,-0.00488,-0.00976,-0.00488
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0,-0.01464,0,-0.00488,-0.00488,-0.00488
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00976,-0.00976,-0.00976,-0.01464,-0.00488,-0.00488
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00976,-0.00976,-0.00976,-0.01464,-0.00488,-0.00488
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,0.00488,-0.00976,-0.01464,-0.00976,-0.00488,-0.00488
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.00488,-0.00976,-0.00976,-0.00488,0,0
-0.03416,0.0244,-0.01464,0.00244,0.01952,-0.02684,0,-0.01464,-0.01464,-0.00976,-0.00488,-0.00488
-0.02928,0.01708,-0.00488,0.00976,0.0244,-0.02684,0,-0.01464,-0.00976,-0.00488,-0.00488,-0.00488
-0.03904,0.02684,-0.01464,0.00488,0.0244,-0.03172,0.00488,-0.00976,-0.00488,-0.00976,-0.00976,0
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.00976,-0.00976,-0.00488,-0.00976,0,0.00488
-0.0488,0.03172,-0.01464,0.00976,0.03416,-0.04148,0.00976,-0.00976,-0.00976,-0.00488,0,0
-0.04392,0.02928,-0.01464,0.00732,0.02928,-0.0366,0.01464,-0.00976,-0.00488,0,0,0
-0.02928,0.0122,0.00488,0.01952,0.03416,-0.03172,-0.00488,-0.01952,0,0,0,0.01464
-0.0244,0.00976,0.00488,0.01708,0.02928,-0.02684,-0.01952,-0.0244,0.00488,0.00488,0.00488,0.01464
-0.01464,-0.00488,0.0244,0.03172,0.03904,-0.02684,-0.01952,-0.00976,0.01464,0.01464,0.01952,0.0244
-0.00976,-0.01464,0.03904,0.04392,0.0488,-0.02928,-0.00976,-0.00976,0.01464,0.01952,0.0244,0.0244
-0.00488,-0.0244,0.05368,0.05612,0.05856,-0.03172,-0.01464,-0.01464,0.02928,0.03416,0.03416,0.03416
-0.00488,-0.0244,0.05368,0.05612,0.05856,-0.03172,-0.01952,-0.01464,0.02928,0.02928,0.03416,0.03904
-0.00976,-0.0244,0.05856,0.06344,0.06832,-0.03904,-0.01952,-0.00976,0.03904,0.02928,0.03904,0.03904
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,-0.01952,-0.00976,0.02928,0.02928,0.03904,0.03904
-0.00976,-0.01952,0.0488,0.05368,0.05856,-0.03416,-0.01952,-0.00976,0.02928,0.02928,0.03904,0.03904
0,-0.02928,0.05856,0.05856,0.05856,-0.02928,-0.02928,0,0.03904,0.03904,0.0488,0.03904
0,-0.02928,0.05856,0.05856,0.05856,-0.02928,-0.02928,0,0.0488,0.0488,0.0488,0.03904
0.00976,-0.03904,0.06832,0.06344,0.05856,-0.0244,-0.03904,-0.00976,0.05856,0.05856,0.05856,0.0488
0.01952,-0.0488,0.07808,0.06832,0.05856,-0.01952,-0.0488,-0.00976,0.05856,0.05856,0.05856,0.05856
0.01952,-0.0488,0.07808,0.06832,0.05856,-0.01952,-0.05856,-0.01952,0.0488,0.05856,0.05856,0.06832
0.01952,-0.0488,0.07808,0.06832,0.05856,-0.01952,-0.06832,-0.01952,0.0488,0.05856,0.05856,0.06832
0.01952,-0.04392,0.06832,0.05856,0.0488,-0.01464,-0.05856,-0.01952,0.03904,0.0488,0.05856,0.05856
0.01952,-0.03904,0.05856,0.0488,0.03904,-0.00976,-0.05856,-0.01952,0.02928,0.0488,0.05856,0.0488
0.00976,-0.02928,0.0488,0.04392,0.03904,-0.01464,-0.0488,-0.01952,0.01952,0.03904,0.0488,0.0488
0.00976,-0.02928,0.0488,0.04392,0.03904,-0.01464,-0.03904,-0.01952,0.01952,0.03904,0.03904,0.0488
0.01952,-0.03416,0.0488,0.03904,0.02928,-0.00488,-0.02928,-0.01952,0.00976,0.02928,0.02928,0.03904
0.02928,-0.03416,0.03904,0.0244,0.00976,0.00976,-0.02928,-0.01952,0.00488,0.01952,0.02928,0.03904
0.01952,-0.0244,0.02928,0.01952,0.00976,0.00488,-0.0244,-0.01464,0,0.0244,0.0244,0.03416
0,-0.00976,0.01952,0.01952,0.01952,-0.00976,-0.01464,-0.0244,-0.00488,0.0244,0.01952,0.02928
-0.01952,0.00488,0.00976,0.01952,0.02928,-0.0244,-0.00488,-0.0244,0.00488,0.01952,0.02928,0.01952
-0.03904,0.01952,0,0.01952,0.03904,-0.03904,0.00488,-0.0244,0.00488,0.01952,0.0244,0.00976
-0.03416,0.02684,-0.01952,-0.00244,0.01464,-0.0244,0.00976,-0.01464,0,-0.00488,0.00488,0.00976
-0.04392,0.03904,-0.03416,-0.0122,0.00976,-0.02684,0.01952,-0.01464,-0.01464,-0.01464,-0.00488,0
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,0.01952,-0.01464,-0.02928,-0.01464,-0.01464,-0.00976
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,0.01952,-0.00976,-0.03416,-0.0244,-0.01952,-0.00976
-0.03904,0.04392,-0.0488,-0.02928,-0.00976,-0.01464,0.02928,-0.01952,-0.03416,-0.0244,-0.0244,-0.00976
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0.02928,-0.01952,-0.04392,-0.02928,-0.0244,-0.01464
-0.0488,0.0488,-0.0488,-0.0244,0,-0.0244,0.01952,-0.0244,-0.0488,-0.02928,-0.0244,-0.0244
-0.0488,0.05368,-0.05856,-0.03416,-0.00976,-0.01952,0.0244,-0.0244,-0.04392,-0.02928,-0.02928,-0.02928
-0.05368,0.05612,-0.05856,-0.03172,-0.00488,-0.0244,0.0244,-0.0244,-0.04392,-0.03416,-0.02928,-0.01952
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.0244,-0.0244,-0.04392,-0.03416,-0.02928,-0.01952
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.0244,-0.0244,-0.04392,-0.03416,-0.02928,-0.02928
-0.04392,0.0488,-0.05368,-0.03172,-0.00976,-0.01708,0.0244,-0.0244,-0.04392,-0.03416,-0.02928,-0.02928
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.0244,-0.0244,-0.05368,-0.03416,-0.02928,-0.02928
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.0244,-0.0244,-0.05368,-0.03416,-0.02928,-0.02928
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.02928,-0.0244,-0.04392,-0.03416,-0.01952,-0.01952
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.02928,-0.0244,-0.04392,-0.03416,-0.01952,-0.01952
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0.02928,-0.0244,-0.04392,-0.02928,-0.01952,-0.02928
-0.0488,0.05124,-0.05368,-0.02928,-0.00488,-0.02196,0.02928,-0.0244,-0.03904,-0.02928,-0.01952,-0.0244
-0.0488,0.04636,-0.04392,-0.01952,0.00488,-0.02684,0.02928,-0.0244,-0.03904,-0.02928,-0.01952,-0.0244
-0.0488,0.04392,-0.03904,-0.01464,0.00976,-0.02928,0.02928,-0.01952,-0.03904,-0.02928,-0.01952,-0.0244
-0.05856,0.05368,-0.0488,-0.01952,0.00976,-0.03416,0.02928,-0.01952,-0.03904,-0.02928,-0.02928,-0.0244
-0.05368,0.05368,-0.05368,-0.02684,0,-0.02684,0.02928,-0.0244,-0.03904,-0.02928,-0.02928,-0.0244
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.02928,-0.0244,-0.03904,-0.02928,-0.02928,-0.0244
-0.05368,0.05124,-0.0488,-0.02196,0.00488,-0.02928,0.02928,-0.0244,-0.03904,-0.02928,-0.02928,-0.0244
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.02928,-0.01464,-0.03904,-0.01952,-0.01952,-0.0244
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.02928,-0.01464,-0.03904,-0.01952,-0.01952,-0.0244
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.02928,-0.0244,-0.03904,-0.0244,-0.0244,-0.01952
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.02928,-0.01952,-0.03416,-0.0244,-0.0244,-0.01952
-0.05368,0.0488,-0.04392,-0.01708,0.00976,-0.03172,0.02928,-0.01952,-0.03416,-0.02928,-0.0244,-0.02928
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0.02928,-0.01952,-0.03416,-0.02928,-0.01952,-0.0244
-0.05368,0.04636,-0.03904,-0.0122,0.01464,-0.03416,0.03904,0.00976,0,-0.01952,-0.00976,-0.01952
-0.04392,0.0366,-0.02928,-0.00732,0.01464,-0.02928,0.03904,0.01952,0.03904,0.00976,0.00488,-0.00976
0,0.00732,-0.01464,-0.01464,-0.01464,0.00732,0.03416,0.05856,0.12688,0.10736,0.06344,0.03416
0.05856,-0.02684,-0.00488,-0.03416,-0.06344,0.061,0.02928,0.13176,0.23424,0.19032,0.122,0.0488
0.16592,-0.09516,0.0244,-0.05856,-0.14152,0.15372,0.01952,0.23424,0.41968,0.35136,0.25376,0.122
0.28304,-0.1952,0.10736,-0.03416,-0.17568,0.22936,-0.02928,0.28792,0.65392,0.59536,0.4392,0.25864
