i,aVR,ii,aVF,iii,aVL,V1,V2,V3,V4,V5,V6
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.10736,-0.03904,-0.10736,-0.10248,-0.09272,-0.05368
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.06832,-0.01952,-0.07808,-0.07808,-0.08296,-0.05856
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.0732,-0.01464,-0.05368,-0.05856,-0.06832,-0.05856
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,-0.0488,-0.01464,-0.0488,-0.0488,-0.06344,-0.06344
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,-0.02928,-0.01464,-0.03416,-0.0488,-0.06344,-0.0488
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,-0.0244,0,-0.0244,-0.03904,-0.05856,-0.0488
-0.01464,0.02928,-0.04392,-0.0366,-0.02928,0.00732,-0.03904,0.01464,-0.01952,-0.0244,-0.0488,-0.0488
-0.01464,0.02684,-0.03904,-0.03172,-0.0244,0.00488,-0.04392,0.01952,-0.00976,-0.0244,-0.0488,-0.0488
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,-0.0488,0.0244,-0.00976,-0.0244,-0.03904,-0.0488
-0.0244,0.03172,-0.03904,-0.02684,-0.01464,-0.00488,-0.0488,0.01952,-0.00488,-0.01952,-0.03416,-0.0488
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,-0.04392,0.01952,-0.00488,-0.0244,-0.03904,-0.05368
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,-0.0244,0.02928,-0.00488,-0.0244,-0.03904,-0.05856
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.00488,0.03416,-0.00488,-0.01464,-0.04392,-0.05368
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.03416,0.02928,-0.00488,-0.01464,-0.03904,-0.04392
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,0.07808,0.04392,0,-0.01952,-0.02928,-0.04392
-0.01952,0.02684,-0.03416,-0.0244,-0.01464,-0.00244,0.10736,0.04392,0,-0.01464,-0.02928,-0.03904
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.122,0.02928,0,-0.01952,-0.03904,-0.02928
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.13176,0.01952,0,-0.01952,-0.03416,-0.02928
-0.00976,0.02196,-0.03416,-0.02928,-0.0244,0.00732,0.12688,0.01464,0,-0.01464,-0.04392,-0.01464
-0.00976,0.02196,-0.03416,-0.02928,-0.0244,0.00732,0.11712,0.02928,0,-0.01464,-0.04392,-0.01464
-0.00976,0.0244,-0.03904,-0.03416,-0.02928,0.00976,0.10248,0.01952,0,-0.0244,-0.04392,-0.00976
-0.00488,0.01952,-0.03416,-0.03172,-0.02928,0.0122,0.08784,0.00976,0.00488,-0.0244,-0.04392,-0.00488
-0.00488,0.01952,-0.03416,-0.03172,-0.02928,0.0122,0.0732,0.00976,-0.00488,-0.01464,-0.03904,-0.01464
-0.00488,0.01952,-0.03416,-0.03172,-0.02928,0.0122,0.06832,0.00976,-0.00976,-0.01464,-0.03904,-0.00976
0.00976,0.00976,-0.02928,-0.03416,-0.03904,0.0244,0.05856,0.00488,0.00488,-0.01464,-0.02928,-0.00976
0.00488,0.0122,-0.02928,-0.03172,-0.03416,0.01952,0.03416,0,0.00976,-0.01464,-0.02928,-0.00976
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,0.02928,0.00488,0.00976,-0.01464,-0.03416,-0.00976
-0.00488,0.01708,-0.02928,-0.02684,-0.0244,0.00976,0.00976,0.00488,0.00976,-0.01464,-0.03416,-0.00488
-0.01464,0.02196,-0.02928,-0.02196,-0.01464,0,0.01464,0.01952,0.0244,-0.01464,-0.01952,-0.00976
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0,0.0244,0.03416,-0.01464,-0.01952,-0.01464
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,-0.03416,0.01464,0.0244,-0.01464,-0.01952,-0.0244
-0.00488,0.00732,-0.00976,-0.00732,-0.00488,0,-0.05368,0.03416,0.02928,-0.01464,-0.01952,-0.03416
-0.00488,0.0122,-0.01952,-0.01708,-0.01464,0.00488,-0.06344,0.03416,0.03416,-0.00976,-0.01952,-0.04392
-0.00488,0.01464,-0.0244,-0.02196,-0.01952,0.00732,-0.05856,0.05368,0.03416,-0.00488,-0.01464,-0.0488
-0.00976,0.01708,-0.0244,-0.01952,-0.01464,0.00244,-0.04392,0.06344,0.03904,-0.00488,-0.01464,-0.05856
-0.00976,0.01708,-0.0244,-0.01952,-0.01464,0.00244,-0.03416,0.07808,0.04392,0,-0.01464,-0.0732
0,0.00732,-0.01464,-0.01464,-0.01464,0.00732,-0.00976,0.10248,0.05368,0.00488,0,-0.05856
0,0.00732,-0.01464,-0.01464,-0.01464,0.00732,0.01464,0.10736,0.06832,0.00976,0,-0.05856
0.00976,0.00244,-0.01464,-0.01952,-0.0244,0.01708,0.03416,0.122,0.07808,0.02928,-0.00488,-0.05856
0.00976,0.00244,-0.01464,-0.01952,-0.0244,0.01708,0.0488,0.13176,0.08296,0.03416,0.00488,-0.05368
0.00488,0.00976,-0.0244,-0.02684,-0.02928,0.01708,0.05856,0.14152,0.09272,0.04392,0.00976,-0.0488
0.00976,0.00488,-0.01952,-0.0244,-0.02928,0.01952,0.06344,0.15616,0.10736,0.05368,0.01952,-0.03904
0.0244,-0.00244,-0.01952,-0.03172,-0.04392,0.03416,0.0732,0.17568,0.10736,0.05856,0.02928,-0.02928
0.03416,-0.0122,-0.00976,-0.02684,-0.04392,0.03904,0.0976,0.19032,0.12688,0.06832,0.03904,-0.01464
0.03416,-0.01708,0,-0.01708,-0.03416,0.03416,0.10736,0.20984,0.13664,0.07808,0.05856,-0.00976
0.03904,-0.0244,0.00976,-0.00976,-0.02928,0.03416,0.12688,0.2196,0.15128,0.09272,0.06832,0
0.03904,-0.0244,0.00976,-0.00976,-0.02928,0.03416,0.122,0.22936,0.16104,0.09272,0.0732,0.02928
0.0488,-0.02928,0.00976,-0.01464,-0.03904,0.04392,0.12688,0.23424,0.19032,0.10736,0.08296,0.03416
0.05368,-0.03904,0.0244,-0.00244,-0.02928,0.04148,0.14152,0.23424,0.20496,0.122,0.0976,0.0488
0.06344,-0.04636,0.02928,-0.00244,-0.03416,0.0488,0.14152,0.23424,0.21472,0.13664,0.11224,0.05856
0.0732,-0.05368,0.03416,-0.00244,-0.03904,0.05612,0.14152,0.22448,0.22936,0.14152,0.11224,0.0732
0.0732,-0.05856,0.04392,0.00732,-0.02928,0.05124,0.12688,0.22448,0.23912,0.15128,0.13176,0.07808
0.07808,-0.061,0.04392,0.00488,-0.03416,0.05612,0.11224,0.22448,0.25376,0.16592,0.14152,0.0976
0.08784,-0.07076,0.05368,0.00976,-0.03416,0.061,0.10248,0.21472,0.25864,0.17568,0.15128,0.11224
0.0976,-0.08296,0.06832,0.01952,-0.02928,0.06344,0.09272,0.20984,0.25376,0.18544,0.15616,0.11712
0.10736,-0.09028,0.0732,0.01952,-0.03416,0.07076,0.08296,0.20496,0.2684,0.19032,0.16592,0.12688
0.11712,-0.10492,0.09272,0.03416,-0.0244,0.07076,0.06832,0.20984,0.2684,0.20008,0.1708,0.13664
0.11712,-0.1098,0.10248,0.04392,-0.01464,0.06588,0.05368,0.20008,0.2684,0.20984,0.18544,0.1464
0.12688,-0.122,0.11712,0.05368,-0.00976,0.06832,0.03416,0.19032,0.27816,0.20984,0.19032,0.15616
0.12688,-0.12444,0.122,0.05856,-0.00488,0.06588,0.0244,0.18056,0.26352,0.20984,0.1952,0.1708
0.14152,-0.13908,0.13664,0.06588,-0.00488,0.0732,0.00488,0.1708,0.25864,0.20984,0.1952,0.1708
0.1464,-0.14396,0.14152,0.06832,-0.00488,0.07564,-0.00488,0.16104,0.244,0.20984,0.1952,0.1708
0.13176,-0.12932,0.12688,0.061,-0.00488,0.06832,-0.01464,0.13664,0.23424,0.20008,0.20008,0.16104
0.13176,-0.12444,0.11712,0.05124,-0.01464,0.0732,-0.02928,0.12688,0.21472,0.1952,0.19032,0.16104
0.12688,-0.122,0.11712,0.05368,-0.00976,0.06832,-0.04392,0.12688,0.20984,0.1952,0.17568,0.15616
0.12688,-0.122,0.11712,0.05368,-0.00976,0.06832,-0.0488,0.122,0.1952,0.18056,0.16104,0.15128
0.10736,-0.10736,0.10736,0.05368,0,0.05368,-0.03904,0.11224,0.18544,0.16592,0.15616,0.13664
0.10248,-0.10004,0.0976,0.04636,-0.00488,0.05368,-0.03904,0.10248,0.1708,0.15616,0.14152,0.12688
0.09272,-0.09516,0.0976,0.05124,0.00488,0.04392,-0.04392,0.0976,0.1464,0.13664,0.13176,0.11224
0.0732,-0.08052,0.08784,0.05124,0.01464,0.02928,-0.0488,0.09272,0.12688,0.122,0.10736,0.09272
0.0732,-0.07808,0.08296,0.04636,0.00976,0.03172,-0.03904,0.08784,0.11224,0.10248,0.0976,0.09272
0.05368,-0.05856,0.06344,0.0366,0.00976,0.02196,-0.03416,0.07808,0.10248,0.0976,0.08784,0.08296
0.04392,-0.05368,0.06344,0.04148,0.01952,0.0122,-0.04392,0.07808,0.08296,0.07808,0.06832,0.05368
0.03904,-0.04636,0.05368,0.03416,0.01464,0.0122,-0.05368,0.0732,0.08296,0.06832,0.0488,0.03416
0.01952,-0.02928,0.03904,0.02928,0.01952,0,-0.05368,0.06344,0.06832,0.06344,0.04392,0.03904
0.00976,-0.02196,0.03416,0.02928,0.0244,-0.00732,-0.0488,0.05856,0.05856,0.05368,0.03416,0.02928
0.01952,-0.02684,0.03416,0.0244,0.01464,0.00244,-0.06832,0.0488,0.0488,0.02928,0.0244,0.0244
0.00976,-0.01952,0.02928,0.0244,0.01952,-0.00488,-0.0732,0.03904,0.03904,0.0244,0.01952,0.01464
0.00488,-0.01464,0.0244,0.02196,0.01952,-0.00732,-0.06344,0.01952,0.03416,0.0244,0.00976,0.00488
-0.00488,-0.00488,0.01464,0.01708,0.01952,-0.0122,-0.05856,0,0.0244,0.01952,0.00488,0
0,-0.00732,0.01464,0.01464,0.01464,-0.00732,-0.03904,-0.00976,0.02928,0.01464,-0.00488,-0.00488
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,-0.03416,-0.00976,0.0244,0.00488,-0.00488,-0.00488
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,-0.00488,0,0.0244,0,0.00488,-0.00488
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.0244,0.00976,0.02928,0.00488,0.00488,-0.00488
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.03416,0.01952,0.03416,0.00488,-0.00488,-0.00488
-0.01952,0.01464,-0.00976,0,0.00976,-0.01464,0.03416,0.01952,0.03416,0,-0.00976,-0.00488
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.03904,0.01952,0.0244,0,0,-0.00488
-0.01952,0.00976,0,0.00976,0.01952,-0.01952,0.04392,0.02928,0.01952,-0.00488,0,-0.00488
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,0.06344,0.01952,0.01952,-0.00488,-0.01464,-0.01952
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,0.08784,0.0244,0.01952,-0.00488,-0.01464,-0.01952
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.08784,0.01464,0.01952,0.00488,-0.00488,-0.00488
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.08784,0.01952,0.01952,0.00488,-0.00488,-0.00488
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,0.08296,0.01464,0.02928,0.00976,-0.00976,-0.00488
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,0.06832,0.00488,0.02928,0.00976,-0.00976,-0.00976
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.06344,-0.00488,0.02928,0.01464,0,-0.00488
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.05856,-0.00488,0.02928,0.01464,0,-0.00488
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.05368,-0.01464,0.02928,0.00488,0,-0.01464
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,0.04392,-0.01464,0.03416,0.00976,0,-0.01952
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,0.04392,-0.00976,0.0244,0.00976,-0.00976,-0.01952
-0.00976,0.00976,-0.00976,-0.00488,0,-0.00488,0.04392,-0.00976,0.02928,0.00976,-0.00488,-0.01952
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,0.05368,-0.01464,0.01952,0.01464,-0.00488,-0.02928
-0.00488,0.00244,0,0.00244,0.00488,-0.00488,0.05368,-0.01464,0.01952,0.01464,-0.00488,-0.0244
-0.01464,0.0122,-0.00976,-0.00244,0.00488,-0.00976,0.05856,0,0.02928,0.01464,-0.00488,-0.03416
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.0488,0,0.02928,0.01464,0,-0.03416
0,-0.00488,0.00976,0.00976,0.00976,-0.00488,0.0488,0.00488,0.01952,0.00488,-0.01464,-0.03416
0,-0.00244,0.00488,0.00488,0.00488,-0.00244,0.0488,0.00488,0.01952,0.00488,-0.01464,-0.03416
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,0.05368,0.01952,0.02928,0.01464,-0.00488,-0.0244
-0.00976,0.00732,-0.00488,0,0.00488,-0.00732,0.05368,0.0244,0.02928,0.01464,-0.00488,-0.0244
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,0.05856,0.0244,0.02928,0.00976,0.00488,-0.00488
-0.00488,0.00976,-0.01464,-0.0122,-0.00976,0.00244,0.06344,0.0244,0.03416,0.00976,0.00488,-0.00488
-0.01464,0.01464,-0.01464,-0.00732,0,-0.00732,0.07808,0.0244,0.0244,0.00488,0.00976,-0.00488
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,0.07808,0.02928,0.0244,0.00488,0.00976,0
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.09272,0.01952,0.01952,0.00488,0.00976,0
-0.00976,0.0122,-0.01464,-0.00976,-0.00488,-0.00244,0.0976,0.01464,0.01464,0.00488,0.00488,0.00488
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.0976,0.02928,0.0244,0.00488,0.00976,0.01464
-0.01464,0.00976,-0.00488,0.00244,0.00976,-0.0122,0.0976,0.01952,0.0244,0.00488,0.00488,0.01464
-0.0244,0.02196,-0.01952,-0.00732,0.00488,-0.01464,0.10736,0.00976,0.01464,0,0.00488,0.00488
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.11224,0.00488,0.01464,-0.00488,0.00488,-0.00488
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.10248,0.00488,0.00488,-0.00488,0,-0.00976
-0.03904,0.03172,-0.0244,-0.00488,0.01464,-0.02684,0.09272,-0.00976,0.00488,-0.00488,-0.00976,-0.00488
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.0976,-0.01464,0.00488,-0.00488,-0.00976,0
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.0976,-0.0244,0.00488,-0.00488,-0.00488,-0.00488
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,0.0732,-0.0244,-0.00976,-0.00488,-0.00488,-0.01952
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,0.0732,-0.02928,-0.00976,-0.01464,-0.00488,-0.01952
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.06344,-0.03416,0,-0.00976,-0.01952,-0.01952
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.0488,-0.04392,-0.00976,-0.00976,-0.01952,-0.0244
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.03904,-0.04392,-0.00976,-0.01464,-0.01952,-0.02928
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.03416,-0.03904,-0.00976,-0.01464,-0.0244,-0.02928
-0.02928,0.03416,-0.03904,-0.0244,-0.00976,-0.00976,0.03904,-0.03904,-0.00976,-0.0244,-0.03416,-0.03416
-0.02928,0.03172,-0.03416,-0.01952,-0.00488,-0.0122,0.03416,-0.04392,-0.01464,-0.02928,-0.03904,-0.03904
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.01464,-0.04392,-0.01952,-0.02928,-0.02928,-0.03904
-0.01464,0.01952,-0.0244,-0.01708,-0.00976,-0.00244,0.00488,-0.04392,-0.01952,-0.02928,-0.02928,-0.03904
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.00488,-0.04392,-0.01952,-0.01952,-0.03904,-0.03904
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.00488,-0.03904,-0.01952,-0.02928,-0.03416,-0.04392
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.00976,-0.03904,-0.01952,-0.03416,-0.03904,-0.03416
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.00976,-0.03904,-0.01952,-0.03416,-0.03904,-0.03416
-0.00976,0.01464,-0.01952,-0.01464,-0.00976,0,0.00976,-0.02928,-0.01952,-0.0244,-0.03904,-0.03416
-0.01464,0.01708,-0.01952,-0.0122,-0.00488,-0.00488,0,-0.02928,-0.0244,-0.02928,-0.03904,-0.03416
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.01464,-0.03416,-0.0244,-0.02928,-0.03904,-0.0244
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.0244,-0.03416,-0.0244,-0.02928,-0.03904,-0.0244
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.0244,-0.03416,-0.0244,-0.02928,-0.02928,-0.0244
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.0244,-0.02928,-0.0244,-0.03416,-0.03416,-0.0244
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.03904,-0.03416,-0.0244,-0.02928,-0.02928,-0.0244
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.03904,-0.03416,-0.0244,-0.03416,-0.03904,-0.02928
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.03416,-0.03416,-0.01952,-0.0244,-0.03904,-0.02928
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.02928,-0.03416,-0.01464,-0.0244,-0.03904,-0.0244
-0.03416,0.02928,-0.0244,-0.00732,0.00976,-0.02196,0.02928,-0.03416,-0.01952,-0.03416,-0.02928,-0.01952
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,0.02928,-0.03416,-0.01952,-0.03416,-0.02928,-0.01952
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.01952,-0.03416,-0.02928,-0.02928,-0.03416,-0.02928
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.01464,-0.03416,-0.02928,-0.02928,-0.03904,-0.02928
-0.01952,0.0244,-0.02928,-0.01952,-0.00976,-0.00488,0.01952,-0.03416,-0.01952,-0.03904,-0.03904,-0.02928
-0.01952,0.02196,-0.0244,-0.01464,-0.00488,-0.00732,0.01952,-0.03904,-0.01952,-0.03904,-0.04392,-0.03416
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.01952,-0.03904,-0.01952,-0.03904,-0.03904,-0.03904
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.01952,-0.03904,-0.01952,-0.03904,-0.03904,-0.04392
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.00976,-0.0488,-0.02928,-0.02928,-0.03904,-0.03416
-0.0244,0.01952,-0.01464,-0.00244,0.00976,-0.01708,0.00488,-0.0488,-0.02928,-0.02928,-0.03904,-0.02928
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0,-0.05856,-0.02928,-0.02928,-0.03904,-0.03904
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,0.00488,-0.05856,-0.02928,-0.02928,-0.03904,-0.04392
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,-0.00488,-0.05856,-0.02928,-0.02928,-0.03904,-0.0488
-0.03904,0.0366,-0.03416,-0.01464,0.00488,-0.02196,-0.00488,-0.06344,-0.02928,-0.02928,-0.03904,-0.0488
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,-0.00488,-0.05368,-0.01952,-0.02928,-0.03904,-0.0488
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,-0.00488,-0.05368,-0.01952,-0.02928,-0.03904,-0.0488
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,-0.01464,-0.05368,-0.02928,-0.02928,-0.0488,-0.0488
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,-0.01464,-0.05368,-0.02928,-0.0244,-0.0488,-0.0488
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,-0.01464,-0.05368,-0.02928,-0.0244,-0.0488,-0.0488
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,-0.01464,-0.05856,-0.02928,-0.0244,-0.0488,-0.0488
-0.03416,0.03416,-0.03416,-0.01708,0,-0.01708,-0.00976,-0.05368,-0.02928,-0.02928,-0.03904,-0.0488
-0.03904,0.04148,-0.04392,-0.0244,-0.00488,-0.01708,-0.01464,-0.05368,-0.02928,-0.02928,-0.03904,-0.0488
-0.02928,0.02684,-0.0244,-0.00976,0.00488,-0.01708,-0.00488,-0.06344,-0.02928,-0.02928,-0.03904,-0.0488
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,-0.00488,-0.06344,-0.02928,-0.02928,-0.03904,-0.0488
-0.0244,0.0244,-0.0244,-0.0122,0,-0.0122,-0.00488,-0.04392,-0.01952,-0.0244,-0.03904,-0.0488
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.00976,-0.0488,-0.01952,-0.02928,-0.03904,-0.0488
-0.01952,0.01952,-0.01952,-0.00976,0,-0.00976,-0.00976,-0.0488,-0.01952,-0.02928,-0.03904,-0.0488
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.00976,-0.0488,-0.02928,-0.02928,-0.03904,-0.04392
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.00976,-0.0488,-0.02928,-0.02928,-0.03904,-0.03416
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,-0.00976,-0.0488,-0.01952,-0.02928,-0.03904,-0.03904
-0.04392,0.0366,-0.02928,-0.00732,0.01464,-0.02928,-0.00976,-0.0488,-0.01952,-0.02928,-0.03904,-0.03904
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,-0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.03904,0.02928,-0.01952,0,0.01952,-0.02928,-0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.00976,-0.03904,-0.01952,-0.03904,-0.03904,-0.02928
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.00976,-0.03904,-0.01952,-0.02928,-0.03904,-0.01952
-0.02928,0.02928,-0.02928,-0.01464,0,-0.01464,-0.00976,-0.03904,-0.01952,-0.02928,-0.03904,-0.01952
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.00976,-0.03904,-0.00976,-0.02928,-0.02928,-0.01952
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.00976,-0.03904,-0.00976,-0.02928,-0.02928,-0.01952
-0.01952,0.01708,-0.01464,-0.00488,0.00488,-0.0122,-0.00976,-0.0488,0,-0.0244,-0.01952,-0.00976
-0.01952,0.0122,-0.00488,0.00488,0.01464,-0.01708,-0.00976,-0.0488,0,-0.01464,-0.01952,-0.00976
-0.01952,0.00488,0.00976,0.01952,0.02928,-0.0244,-0.00976,-0.03904,0.00976,0,-0.00976,0
-0.01464,-0.00732,0.02928,0.0366,0.04392,-0.02928,-0.00976,-0.02928,0.00976,0.00488,-0.00488,0.00488
-0.01464,-0.0122,0.03904,0.04636,0.05368,-0.03416,0.00488,-0.02928,0.02928,0.00488,-0.00488,0.00488
-0.00488,-0.01464,0.03416,0.0366,0.03904,-0.02196,0.00488,-0.0244,0.02928,0.00976,-0.00488,0
-0.00976,-0.00732,0.0244,0.02928,0.03416,-0.02196,0.00976,-0.03416,0.02928,0.01464,0,0.00488
-0.00488,-0.00732,0.01952,0.02196,0.0244,-0.01464,0,-0.03416,0.02928,0.01464,0,0.00488
-0.01464,-0.00244,0.01952,0.02684,0.03416,-0.0244,-0.01464,-0.04392,0.01952,0.01464,0,0.00488
-0.01464,-0.00244,0.01952,0.02684,0.03416,-0.0244,-0.02928,-0.0488,0.01464,0.01464,0,0.00488
0,-0.01708,0.03416,0.03416,0.03416,-0.01708,-0.03904,-0.05368,-0.00976,0.00488,-0.00976,0.01464
0,-0.00976,0.01952,0.01952,0.01952,-0.00976,-0.06344,-0.0732,-0.03904,-0.01952,-0.01464,0.00976
-0.00488,-0.00244,0.00976,0.0122,0.01464,-0.00976,-0.08296,-0.08784,-0.0488,-0.02928,-0.01952,0.00976
0.00488,-0.0122,0.01952,0.01708,0.01464,-0.00488,-0.08296,-0.08784,-0.04392,-0.0244,-0.01952,0.00976
0.0244,-0.02196,0.01952,0.00732,-0.00488,0.01464,-0.08296,-0.0732,-0.04392,-0.01464,-0.00488,0.01952
0.0244,-0.02196,0.01952,0.00732,-0.00488,0.01464,-0.0732,-0.06344,-0.02928,0,0,0.02928
0.00488,-0.00488,0.00488,0.00244,0,0.00244,-0.06344,-0.0488,-0.0244,0.00488,-0.00976,0.01952
-0.00488,0.00488,-0.00488,-0.00244,0,-0.00244,-0.05856,-0.0488,-0.01464,0,-0.00976,0.00976
-0.02928,0.0244,-0.01952,-0.00488,0.00976,-0.01952,-0.0488,-0.04392,-0.01952,-0.00488,-0.01952,0
-0.03416,0.03172,-0.02928,-0.0122,0.00488,-0.01952,-0.0488,-0.03904,-0.01952,-0.0244,-0.02928,-0.00976
-0.0244,0.03416,-0.04392,-0.03172,-0.01952,-0.00244,-0.06344,-0.03904,-0.01952,-0.03416,-0.03904,-0.0244
-0.0244,0.03904,-0.05368,-0.04148,-0.02928,0.00244,-0.05856,-0.03416,-0.02928,-0.04392,-0.04392,-0.03416
-0.04392,0.05612,-0.06832,-0.04636,-0.0244,-0.00976,-0.05856,-0.02928,-0.0488,-0.05856,-0.05856,-0.05368
-0.0488,0.05856,-0.06832,-0.04392,-0.01952,-0.01464,-0.05856,-0.0244,-0.0488,-0.05856,-0.05856,-0.05368
-0.03416,0.0488,-0.06344,-0.04636,-0.02928,-0.00244,-0.05368,-0.0244,-0.03904,-0.0488,-0.05368,-0.04392
-0.03416,0.0488,-0.06344,-0.04636,-0.02928,-0.00244,-0.05368,-0.0244,-0.03416,-0.04392,-0.05368,-0.04392
